1boy,"1個男人,1男"
1boys,"1個男人"
1girl,"1個女人,1個女孩"
1girls,"1個女人"
2_girls,"2個女人"
2boy,"2個男人,兩男"
2boys,"2個男人"
2equal8,"2等於8"
2girl,"2個女人,兩女"
2girls,"2個女人"
3boy,"3男"
3girl,"兩女"
4boy,"4男"
4girl,"4女"
4koma,"四格,四格漫畫"
4th_wall,"虛實穿插/現實感/次元壁"
5boy,"5男"
5danny1206,"5丹尼1206"
5girl,"5女"
6月3,"日"
7_calpis_7,"可爾必思（calpis）乳性果汁飲料"
7th_dragon,"七龍珠"
7th_dragon_(series),"七龍珠(系列)"
7th_dragon_2020,"七龍珠2020"
7月2,"日"
888myrrh888,"畫師888myrrh888"
:(,"皺眉/蹙額"
:),"微笑"
:/,"撇嘴,斜嘴"
:0,"驚訝"
:3,"貓嘴,65286"
:9,"右上吐舌頭"
:b,"右下吐舌頭"
:d,"咧嘴笑"
:o,"驚訝"
:p,"右下吐舌頭"
:q,"右上吐舌頭"
:{,"皺眉/蹙額"
:|,"無表情,無語"
:},"微笑"
;d,"單眼咧嘴笑"
>:(,"憤怒"
>:),"嘲笑"
?_block,"?塊"
a-ka,"又名"
a-rise,"上升"
a-soul,"靈魂"
a.b.a,"阿巴"
a.i._voice,"人工智慧語音"
a.t._zero,"零"
a.x.,"斧頭"
a:n_(angrynum),"一個：n(憤怒)"
a_(aaaaaaaaaaw),"一個(aaaaaaaaaaaw)"
a_(phrase),"一個(短語)"
a_channel,"一個頻道"
a_deer_of_nine_colors,"九色鹿"
a_hat_in_time,"及時戴上帽子"
a_maru,"丸"
a_song_of_ice_and_fire,"冰與火之歌"
aaeru,"艾魯"
aak_(arknights),"aak(方舟之夜)"
aang,"昂"
aardwolf_(kemono_friends),"aardwolf(kemono朋友)"
aardwolf_ears,"土狼耳朵"
aardwolf_print,"土狼印花"
aardwolf_tail,"土狼尾巴"
abacus,"算盤"
abandon_ranka,"放棄蘭卡"
abandoned,"被遺棄"
abara_heiki,"原平輝"
abarai_renji,"阿原井仁濟"
abaratani_kurou,"原谷九郎"
abaraya,"巴拉亞"
abazu-red,"abazu-紅"
